Hours, Load_Level,Ploss(kW),Qloss(kVAr),Bus_No,Vmin
1,0.4757,46.345633,21.168162,65,0.958899
2,0.4473,40.783496,18.63375,65,0.961449
3,0.426,36.860882,16.845731,65,0.963353
4,0.4189,35.600329,16.271019,65,0.963986
5,0.4189,35.600329,16.271019,65,0.963986
6,0.426,36.860882,16.845731,65,0.963353
7,0.5254,57.007591,26.023484,65,0.954404
8,0.6106,78.111078,35.623948,65,0.946602
9,0.6745,96.363393,43.9181,65,0.940668
10,0.6816,98.523304,44.89908,65,0.940004
11,0.6816,98.523304,44.89908,65,0.940004
12,0.6745,96.363393,43.9181,65,0.940668
13,0.6745,96.363393,43.9181,65,0.940668
14,0.6745,96.363393,43.9181,65,0.940668
15,0.6603,92.123403,41.992088,65,0.941993
16,0.6674,94.230127,42.949117,65,0.941331
17,0.7029,105.163938,47.91444,65,0.938006
18,0.71,107.431465,48.94385,65,0.937339
19,0.71,107.431465,48.94385,65,0.937339
20,0.6816,98.523304,44.89908,65,0.940004
21,0.6461,87.989177,40.113713,65,0.943314
22,0.5893,72.493987,33.069785,65,0.948565
23,0.5183,55.411259,25.296761,65,0.955049
24,0.4473,40.783496,18.63375,65,0.961449
25,0.3969,31.842336,14.557306,65,0.965943
26,0.3906,30.807149,14.085142,65,0.966502
27,0.378,28.791131,13.165477,65,0.967618
28,0.3654,26.84722,12.27854,65,0.968731
29,0.3717,27.810189,12.717929,65,0.968175
30,0.4095,33.967343,15.526417,65,0.964823
31,0.4536,41.984454,19.181063,65,0.960884
32,0.5355,59.320898,27.076472,65,0.953486
33,0.5985,74.891884,34.16024,65,0.947718
34,0.6237,81.680646,37.246657,65,0.945392
35,0.63,83.428702,38.041198,65,0.944808
36,0.6237,81.680646,37.246657,65,0.945392
37,0.5859,71.618637,32.671678,65,0.948877
38,0.5796,70.012064,31.940959,65,0.949455
39,0.567,66.85869,30.506504,65,0.95061
40,0.5544,63.784577,29.10784,65,0.951763
41,0.567,66.85869,30.506504,65,0.95061
42,0.5796,70.012064,31.940959,65,0.949455
43,0.6048,76.55869,34.91814,65,0.947137
44,0.6174,79.953004,36.461319,65,0.945974
45,0.6048,76.55869,34.91814,65,0.947137
46,0.567,66.85869,30.506504,65,0.95061
47,0.504,52.270522,23.866725,65,0.956344
48,0.441,39.601187,18.094885,65,0.962013
49,0.64,86.245482,39.321348,65,0.943881
50,0.6,75.286913,34.339867,65,0.94758
51,0.58,70.113475,31.987086,65,0.949419
52,0.56,65.141097,29.725064,65,0.951251
53,0.56,65.141097,29.725064,65,0.951251
54,0.58,70.113475,31.987086,65,0.949419
55,0.64,86.245482,39.321348,65,0.943881
56,0.76,124.17539,56.541875,65,0.93261
57,0.87,165.945184,75.472272,65,0.922035
58,0.95,200.78567,91.238874,65,0.91419
59,0.99,219.680821,99.781516,65,0.910215
60,1,224.562367,101.987617,65,0.909216
61,0.99,219.680821,99.781516,65,0.910215
62,1,224.562367,101.987617,65,0.909216
63,1,224.562367,101.987617,65,0.909216
64,0.97,210.107821,95.454176,65,0.912207
65,0.96,205.415583,93.332603,65,0.913199
66,0.96,205.415583,93.332603,65,0.913199
67,0.93,191.7113,87.134301,65,0.916164
68,0.92,187.266093,85.123136,65,0.917148
69,0.92,187.266093,85.123136,65,0.917148
70,0.93,191.7113,87.134301,65,0.916164
71,0.87,165.945184,75.472272,65,0.922035
72,0.72,110.671265,50.414459,65,0.936397
73,0.3717,27.810189,12.717929,65,0.968175
74,0.3658,26.907827,12.306195,65,0.968696
75,0.354,25.150213,11.504117,65,0.969737
76,0.3422,23.455114,10.730431,65,0.970775
77,0.3481,24.294871,11.113734,65,0.970256
78,0.3835,29.662245,13.562882,65,0.967131
79,0.4248,36.646187,16.747852,65,0.96346
80,0.5015,51.731613,23.621319,65,0.956571
81,0.5605,65.262973,29.780516,65,0.951205
82,0.5841,71.157577,32.461981,65,0.949042
83,0.59,72.67493,33.152075,65,0.9485
84,0.5841,71.157577,32.461981,65,0.949042
85,0.5487,62.419807,28.48681,65,0.952283
86,0.5428,61.024073,27.851635,65,0.952821
87,0.531,58.284043,26.604529,65,0.953895
88,0.5192,55.612251,25.388265,65,0.954967
89,0.531,58.284043,26.604529,65,0.953895
90,0.5428,61.024073,27.851635,65,0.952821
91,0.5664,66.71051,30.439091,65,0.950665
92,0.5782,69.657759,31.779801,65,0.949584
93,0.5664,66.71051,30.439091,65,0.950665
94,0.531,58.284043,26.604529,65,0.953895
95,0.472,45.599329,20.828167,65,0.959232
96,0.413,34.570598,15.801499,65,0.964512
