Loadlevel,Pdg,DG position,PLoss
0.300000,70.559556,2,17.898464
0.300000,141.119112,2,17.897730
0.300000,211.678668,2,17.897044
0.300000,282.238224,2,17.896403
0.300000,352.797780,2,17.895810
0.300000,423.357336,2,17.895263
0.300000,493.916892,2,17.894763
0.300000,564.476449,2,17.894310
0.300000,635.036005,2,17.893903
0.300000,705.595561,2,17.893543
0.300000,776.155117,2,17.893229
0.300000,846.714673,2,17.892963
0.300000,917.274229,2,17.892742
0.300000,987.833785,2,17.892569
0.300000,1058.393341,2,17.892442
0.300000,1128.952897,2,17.892362
0.300000,1199.512453,2,17.892329
0.300000,1270.072009,2,17.892342
0.300000,1340.631565,2,17.892402
0.300000,1411.191121,2,17.892508
0.300000,1481.750677,2,17.892661
0.300000,1552.310233,2,17.892861
0.300000,1622.869790,2,17.893108
0.300000,1693.429346,2,17.893401
0.300000,1763.988902,2,17.893741
0.300000,1834.548458,2,17.894127
0.300000,1905.108014,2,17.894560
0.300000,1975.667570,2,17.895040
0.300000,2046.227126,2,17.895566
0.300000,2116.786682,2,17.896139
0.300000,2187.346238,2,17.896759
0.300000,2257.905794,2,17.897426
0.300000,2328.465350,2,17.898139
0.300000,2399.024906,2,17.898898
0.300000,2469.584462,2,17.899705
0.300000,2540.144018,2,17.900558
0.300000,2610.703574,2,17.901458
0.300000,2681.263131,2,17.902404
0.300000,2751.822687,2,17.903397
0.300000,2822.382243,2,17.904437
0.300000,70.559556,3,17.897690
0.300000,141.119112,3,17.896230
0.300000,211.678668,3,17.894863
0.300000,282.238224,3,17.893590
0.300000,352.797780,3,17.892409
0.300000,423.357336,3,17.891322
0.300000,493.916892,3,17.890329
0.300000,564.476449,3,17.889429
0.300000,635.036005,3,17.888622
0.300000,705.595561,3,17.887908
0.300000,776.155117,3,17.887288
0.300000,846.714673,3,17.886761
0.300000,917.274229,3,17.886327
0.300000,987.833785,3,17.885987
0.300000,1058.393341,3,17.885740
0.300000,1128.952897,3,17.885586
0.300000,1199.512453,3,17.885526
0.300000,1270.072009,3,17.885559
0.300000,1340.631565,3,17.885685
0.300000,1411.191121,3,17.885905
0.300000,1481.750677,3,17.886218
0.300000,1552.310233,3,17.886624
0.300000,1622.869790,3,17.887124
0.300000,1693.429346,3,17.887717
0.300000,1763.988902,3,17.888403
0.300000,1834.548458,3,17.889183
0.300000,1905.108014,3,17.890055
0.300000,1975.667570,3,17.891022
0.300000,2046.227126,3,17.892081
0.300000,2116.786682,3,17.893234
0.300000,2187.346238,3,17.894480
0.300000,2257.905794,3,17.895819
0.300000,2328.465350,3,17.897252
0.300000,2399.024906,3,17.898778
0.300000,2469.584462,3,17.900398
0.300000,2540.144018,3,17.902110
0.300000,2610.703574,3,17.903916
0.300000,2681.263131,3,17.905816
0.300000,2751.822687,3,17.907808
0.300000,2822.382243,3,17.909894
0.300000,70.559556,4,17.895568
0.300000,141.119112,4,17.892125
0.300000,211.678668,4,17.888915
0.300000,282.238224,4,17.885939
0.300000,352.797780,4,17.883196
0.300000,423.357336,4,17.880687
0.300000,493.916892,4,17.878411
0.300000,564.476449,4,17.876368
0.300000,635.036005,4,17.874558
0.300000,705.595561,4,17.872982
0.300000,776.155117,4,17.871640
0.300000,846.714673,4,17.870530
0.300000,917.274229,4,17.869654
0.300000,987.833785,4,17.869011
0.300000,1058.393341,4,17.868602
0.300000,1128.952897,4,17.868426
0.300000,1199.512453,4,17.868483
0.300000,1270.072009,4,17.868773
0.300000,1340.631565,4,17.869297
0.300000,1411.191121,4,17.870054
0.300000,1481.750677,4,17.871044
0.300000,1552.310233,4,17.872268
0.300000,1622.869790,4,17.873725
0.300000,1693.429346,4,17.875415
0.300000,1763.988902,4,17.877338
0.300000,1834.548458,4,17.879495
0.300000,1905.108014,4,17.881885
0.300000,1975.667570,4,17.884508
0.300000,2046.227126,4,17.887365
0.300000,2116.786682,4,17.890455
0.300000,2187.346238,4,17.893778
0.300000,2257.905794,4,17.897334
0.300000,2328.465350,4,17.901123
0.300000,2399.024906,4,17.905146
0.300000,2469.584462,4,17.909402
0.300000,2540.144018,4,17.913891
0.300000,2610.703574,4,17.918614
0.300000,2681.263131,4,17.923569
0.300000,2751.822687,4,17.928758
0.300000,2822.382243,4,17.934180
0.300000,70.559556,5,17.869007
0.300000,141.119112,5,17.841349
0.300000,211.678668,5,17.816271
0.300000,282.238224,5,17.793772
0.300000,352.797780,5,17.773852
0.300000,423.357336,5,17.756510
0.300000,493.916892,5,17.741746
0.300000,564.476449,5,17.729560
0.300000,635.036005,5,17.719950
0.300000,705.595561,5,17.712918
0.300000,776.155117,5,17.708462
0.300000,846.714673,5,17.706583
0.300000,917.274229,5,17.707279
0.300000,987.833785,5,17.710551
0.300000,1058.393341,5,17.716397
0.300000,1128.952897,5,17.724819
0.300000,1199.512453,5,17.735814
0.300000,1270.072009,5,17.749384
0.300000,1340.631565,5,17.765528
0.300000,1411.191121,5,17.784244
0.300000,1481.750677,5,17.805534
0.300000,1552.310233,5,17.829396
0.300000,1622.869790,5,17.855831
0.300000,1693.429346,5,17.884837
0.300000,1763.988902,5,17.916415
0.300000,1834.548458,5,17.950564
0.300000,1905.108014,5,17.987284
0.300000,1975.667570,5,18.026574
0.300000,2046.227126,5,18.068434
0.300000,2116.786682,5,18.112864
0.300000,2187.346238,5,18.159864
0.300000,2257.905794,5,18.209432
0.300000,2328.465350,5,18.261569
0.300000,2399.024906,5,18.316274
0.300000,2469.584462,5,18.373548
0.300000,2540.144018,5,18.433388
